,store,sido,gungu,store_address
1296,판문평거,경남,진주시,경남 진주시 진양호로 145
1297,하대초전,경남,진주시,경남 진주시 하대로 107
1298,혁신(경남 진주),경남,진주시,경남 진주시 충의로 20-33
1299,남지,경남,창녕군,경남 창녕군 남지읍 남지중앙로 102-1
1300,창녕,경남,창녕군,경남 창녕군 창녕읍 종로 62번지
1301,마산현동,경남,창원시,경남 창원시 마산합포구 현동로 56
1302,문화중앙,경남,창원시,경남 창원시 마산합포구 315대로 126
1303,월영,경남,창원시,경남 창원시 마산합포구 월영동로 1
1304,자산교방,경남,창원시,경남 창원시 마산합포구 자산삼거리로 5-1
1305,진동,경남,창원시,경남 창원시 마산합포구 진동면 진동사동로 16
1306,창동산호,경남,창원시,경남 창원시 마산합포구 합포로 120
1307,내서삼계,경남,창원시,경남 창원시 마산회원구 내서읍 삼풍로 61
1308,석전회성,경남,창원시,경남 창원시 마산회원구 석전남8길 29
1309,양덕(창원),경남,창원시,경남 창원시 마산회원구 양덕로 139-1
1310,합성,경남,창원시,경남 창원시 마산회원구 합성남로 33-1
1311,호계,경남,창원시,경남 창원시 마산회원구 내서읍 호원로 239
1312,회원,경남,창원시,경남 창원시 마산회원구 회원남로 19
1313,남양(창원),경남,창원시,경남 창원시 성산구 가음정로43번길 3  더원빌딩 104호
1314,대방,경남,창원시,경남 창원시 성산구 대암로 247
1315,반송(창원),경남,창원시,경남 창원시 성산구 반송로 50번길 17
1316,사파,경남,창원시,경남 창원시 성산구 신사로 103
1317,상남,경남,창원시,경남 창원시 성산구 마디미로56번길 10
1318,성주안민,경남,창원시,경남 창원시 성산구 삼정자로 51번길 3
1319,중앙(창원 성산),경남,창원시,경남 창원시 성산구 중앙대로 61번길 3
1320,감계,경남,창원시,경남 창원시 의창구 북면 감계로 110번길 47-1
1321,도계명서,경남,창원시,경남 창원시 의창구 도계로 79
1322,동읍,경남,창원시,경남 창원시 의창구 동읍 의창대로 860
1323,무동,경남,창원시,경남 창원시 의창구 북면 무동로 226번길 14
1324,봉곡사림,경남,창원시,경남 창원시 의창구 봉곡로 63번길 2
1325,용지호수,경남,창원시,경남 창원시 의창구 용지로 153번길 7
1326,중동유니시티,경남,창원시,경남 창원시 의창구 의창대로254번길 9
1327,팔용,경남,창원시,경남 창원시 의창구 남산로 33
1328,남문,경남,창원시,경남 창원시 진해구 남영로55번길 6-17 골든프라자
1329,석동덕산,경남,창원시,경남 창원시 진해구 냉천로 70-1
1330,웅동용원,경남,창원시,경남 창원시 진해구 용원서로39번길 6
1331,자은냉천,경남,창원시,경남 창원시 진해구 냉천로 160 자은빌딩 103호
1332,중앙(진해),경남,창원시,경남 창원시 진해구 여좌로 6
1333,진해신항,경남,창원시,경남 창원시 진해구 신항동로 141
1334,태평,경남,창원시,경남 창원시 진해구 충무로 70번길 4
1335,풍호,경남,창원시,경남 창원시 진해구 충장로657번길 35 창원마린푸르지오2단
1336,미수봉평,경남,통영시,"경남 통영시 운하1길 25, 천우운하맨션 상가 115호"
1337,북신무전,경남,통영시,경남 통영시 무전8길 22-19
1338,죽림,경남,통영시,"경남 통영시 광도면 죽림2로 77, 가동 103호"
1339,하동,경남,하동군,경남 하동군 하동읍 시장3길 6
1340,칠원,경남,함안군,경남 함안군 칠원읍 용산1길 27
1341,함안,경남,함안군,경남 함안군 가야읍 가야로 78
1342,함양,경남,함양군,경남 함양군 함양읍 함양로 1111-1
1343,합천,경남,합천군,경남 합천군 합천읍 대야로 869
1344,대정,제주,서귀포시,제주 서귀포시 대정읍 신영로 73
1345,서귀포1호,제주,서귀포시,제주 서귀포시 일주동로 8584
1346,서귀포남원,제주,서귀포시,제주 서귀포시 태위로 713
1347,서귀포명동,제주,서귀포시,제주 서귀포시 명동로 29서귀동
1348,서귀포혁신도시,제주,서귀포시,제주 서귀포시 신서귀로97길 55
1349,성산일출봉,제주,서귀포시,제주 서귀포시 성산읍 성산등용로 78
1350,영어교육도시,제주,서귀포시,제주 서귀포시 대정읍 에듀시티로239번길 8
1351,중문,제주,서귀포시,제주 서귀포시 천제연로 215
1352,표선,제주,서귀포시,제주 서귀포시 표선동서로 234
1353,건입,제주,제주시,제주 제주시 고마로 29
1354,노형,제주,제주시,제주 제주시 월랑로 35
1355,도두해안도로,제주,제주시,제주 제주시 서해안로 160-1 1층
1356,삼양화북,제주,제주시,제주 제주시 화삼북로2길 32
1357,세화,제주,제주시,제주 제주시 구좌읍 세평항로 37
1358,시청(제주),제주,제주시,제주 제주시 광양 13길 3
1359,아라,제주,제주시,제주 제주시 중앙로 596
1360,아라이도,제주,제주시,제주 제주시 승천로 51
1361,애월해안도로,제주,제주시,제주 제주시 애월읍 고내로7길 44
1362,외도하귀,제주,제주시,제주 제주시 하귀9길 56
1363,용담삼도,제주,제주시,제주 제주시 용화로 40
1364,일도,제주,제주시,제주 제주시 고마로 95
1365,제주1호,제주,제주시,제주 제주시 삼무로 50
1366,탑동(제주),제주,제주시,제주 제주시 탑동로 21
1367,한라대,제주,제주시,제주 제주시 한라대학로 114
1368,한림협재,제주,제주시,제주 제주시 한림읍 한림중앙로 47
1369,함덕,제주,제주시,제주 제주시 조함해안로 510
